iso_time,t,phase,contact,used,delta,theta,alpha,beta,gamma,theta_z,alpha_z,beta_z,stress,attention,cognitive_load
2026-06-25T23:20:18,12.480,idle,0,,,,,,,,,,,,
2026-06-25T23:20:19,13.501,idle,1,TP9+AF7+AF8+TP10,7706.3,2493.3,671.81,849.29,613.93,,,,,,
2026-06-25T23:20:20,14.511,idle,1,TP9+AF7+AF8+TP10,5118.1,1468.8,356.13,662.82,403.87,,,,,,
2026-06-25T23:20:21,15.518,idle,1,TP9+AF7+AF8+TP10,2093.9,521.94,144.34,460.89,292.17,,,,,,
2026-06-25T23:20:22,16.521,idle,1,TP9+AF7+AF8+TP10,291.48,147.57,87.501,318.29,246.12,,,,,,
2026-06-25T23:20:23,17.530,idle,1,TP9+AF7+AF8+TP10,459.18,166.39,91.267,276.6,282.29,,,,,,
2026-06-25T23:20:24,18.538,idle,1,TP9+AF7+AF8+TP10,463.74,202.48,93.166,301.53,311.69,,,,,,
2026-06-25T23:20:25,19.546,idle,1,TP9+AF7+AF8+TP10,453,241.93,73.56,293.88,357.62,,,,,,
2026-06-25T23:20:26,20.555,idle,1,TP9+AF7+AF8+TP10,1275.8,267.06,94.1,431.06,768.54,,,,,,
2026-06-25T23:20:27,21.562,idle,1,TP9+AF7+AF8+TP10,803.83,148.34,62.002,464.38,627.41,,,,,,
2026-06-25T23:20:28,22.564,idle,1,TP9+AF7+AF8+TP10,398.26,214.3,123.45,441.99,484.26,,,,,,
2026-06-25T23:20:29,23.568,idle,1,TP9+AF7+AF8+TP10,1737.1,563.93,421.47,636.95,823.42,,,,,,
2026-06-25T23:20:30,24.577,idle,1,TP9+AF7+AF8+TP10,2206.5,573.03,333.54,668.55,943.5,,,,,,
2026-06-25T23:20:31,25.589,idle,1,TP9+AF7+AF8+TP10,555.52,286.77,110.42,472.88,736.48,,,,,,
2026-06-25T23:20:32,26.598,idle,1,TP9+AF7+AF8+TP10,155.88,70.519,39.853,342.92,499.76,,,,,,
2026-06-25T23:20:33,27.606,idle,1,TP9+AF7+AF8+TP10,241.23,83.37,49.99,300.96,487.77,,,,,,
2026-06-25T23:20:34,28.614,idle,1,TP9+AF7+AF8+TP10,222.86,101.2,55.049,327.04,441.22,,,,,,
2026-06-25T23:20:35,29.624,idle,1,TP9+AF7+AF8+TP10,214.66,109.43,56.172,268.27,308.82,,,,,,
2026-06-25T23:20:36,30.631,idle,1,TP9+AF7+AF8+TP10,337.74,92.313,65.783,264.85,305.87,,,,,,
2026-06-25T23:20:37,31.641,idle,1,TP9+AF7+AF8+TP10,356.94,129.72,62.144,362.51,426.42,,,,,,
2026-06-25T23:20:38,32.651,idle,1,TP9+AF7+AF8+TP10,1148,518.15,150.89,647.18,586.18,,,,,,
2026-06-25T23:20:39,33.656,idle,1,TP9+AF7+AF8+TP10,3157.1,1122.7,361.53,1055.8,836.55,,,,,,
2026-06-25T23:20:40,34.662,idle,1,TP9+AF7+AF8+TP10,2088,513.19,293.7,687.05,664.65,,,,,,
2026-06-25T23:20:41,35.668,idle,1,TP9+AF7+AF8+TP10,1318.8,277.19,147.34,514.8,555.72,,,,,,
2026-06-25T23:20:42,36.674,idle,1,TP9+AF7+AF8+TP10,430.35,158.68,65.913,394.82,394.42,,,,,,
2026-06-25T23:20:43,37.681,idle,1,TP9+AF7+AF8+TP10,241.98,136.72,42.626,269.7,341.7,,,,,,
2026-06-25T23:20:44,38.692,idle,1,TP9+AF7+AF8+TP10,493.84,154.58,41.163,272.74,279.78,,,,,,
2026-06-25T23:20:45,39.701,idle,1,TP9+AF7+AF8+TP10,427.25,130.22,55.083,232.85,239.61,,,,,,
2026-06-25T23:20:46,40.707,idle,1,TP9+AF7+AF8+TP10,694.08,191.75,137.8,223.24,227.85,,,,,,
2026-06-25T23:20:47,41.712,idle,1,TP9+AF7+AF8+TP10,694.52,157.06,105.97,238.15,209.6,,,,,,
2026-06-25T23:20:48,42.721,idle,1,TP9+AF7+AF8+TP10,346.55,94.508,59.506,341.8,279.32,,,,,,
2026-06-25T23:20:49,43.728,idle,1,TP9+AF7+AF8+TP10,386.98,100.69,84.618,412.56,395.64,,,,,,
2026-06-25T23:20:50,44.733,idle,1,TP9+AF7+AF8+TP10,535.44,160.86,84.659,341.07,389.18,,,,,,
2026-06-25T23:20:51,45.739,idle,1,TP9+AF7+AF8+TP10,1299.5,263.85,89.54,441.28,392.44,,,,,,
2026-06-25T23:20:52,46.743,idle,1,TP9+AF7+AF8+TP10,1679.4,784.64,175.52,450.18,262.35,,,,,,
2026-06-25T23:20:53,47.750,idle,1,TP9+AF7+AF8+TP10,712.72,620.37,133.02,256.69,117.22,,,,,,
2026-06-25T23:20:54,48.762,idle,1,TP9+AF7+AF8+TP10,650.79,261.53,96.537,161.39,106.64,,,,,,
2026-06-25T23:20:55,49.769,idle,1,TP9+AF7+AF8+TP10,866.7,365.83,110.14,172.3,96.805,,,,,,
2026-06-25T23:20:56,50.776,idle,1,TP9+AF7+AF8+TP10,688.84,238.62,106.09,159.89,84.095,,,,,,
2026-06-25T23:20:57,51.781,idle,1,TP9+AF7+AF8+TP10,592.8,240,103.14,149.12,75.044,,,,,,
2026-06-25T23:20:58,52.788,idle,1,TP9+AF7+AF8+TP10,6838.1,3744.7,571.71,656.31,220.74,,,,,,
2026-06-25T23:20:59,53.795,idle,1,TP9+AF7+AF8+TP10,16414,6144.9,904.63,1494.6,894.43,,,,,,
2026-06-25T23:21:00,54.803,idle,1,TP9+AF7+AF8+TP10,11796,2358.8,595.73,1399.9,881.54,,,,,,
