iso_time,t,phase,contact,used,delta,theta,alpha,beta,gamma,theta_z,alpha_z,beta_z,stress,attention,cognitive_load,difficulty,event
2026-06-26T22:25:27,12.452,idle,0,,,,,,,,,,,,,,
2026-06-26T22:25:28,13.467,idle,1,AF7+AF8,82.442,32.996,12.236,74.153,67.446,,,,,,,,
2026-06-26T22:25:29,14.472,idle,1,AF7+AF8,756.41,157.34,43.959,73.254,73.778,,,,,,,,
2026-06-26T22:25:30,15.477,idle,1,AF7+AF8,1042.1,183.12,62.743,82.654,71.548,,,,,,,,
2026-06-26T22:25:31,16.483,idle,1,AF7+AF8,497.34,113.21,55.364,73.179,71.957,,,,,,,,
2026-06-26T22:25:32,17.493,idle,1,AF7+AF8,889.96,305.25,139.71,129.27,257.68,,,,,,,,
2026-06-26T22:25:33,18.496,idle,1,AF7+AF8,1997,450.36,181.61,231.2,478.79,,,,,,,,
2026-06-26T22:25:34,19.502,idle,1,AF7+AF8,16890,2280.9,758.7,340.06,221.34,,,,,,,,
2026-06-26T22:25:35,20.507,idle,1,AF7+AF8,69329,9955.9,2804.7,950.15,318.34,,,,,,,,
2026-06-26T22:25:36,21.515,idle,1,AF7+AF8,22719,3567.9,898.5,484.86,253.92,,,,,,,,
2026-06-26T22:25:37,22.520,idle,1,AF7+AF8,6497.6,2655,761.75,476.93,219.79,,,,,,,,
2026-06-26T22:25:38,23.527,idle,1,AF7+AF8,12640,2444.6,687.86,378.88,305.94,,,,,,,,
2026-06-26T22:25:39,24.532,idle,1,AF7+AF8,60219,6206.2,605.42,330.17,297.42,,,,,,,,
2026-06-26T22:25:40,25.534,idle,1,AF7+AF8,76619,5208.3,742.86,487,426.71,,,,,,,,
2026-06-26T22:25:41,26.540,idle,1,AF7+AF8,13630,1200.3,235.67,278.31,280.7,,,,,,,,
2026-06-26T22:25:42,27.548,idle,1,AF7+AF8,1449.3,576.86,193.49,211.72,242.23,,,,,,,,
2026-06-26T22:25:43,28.553,idle,1,AF7+AF8,3541.7,555.37,264.04,212.27,186.25,,,,,,,,
2026-06-26T22:25:44,29.556,idle,1,AF7+AF8,14682,1232.2,218.45,259.35,226.51,,,,,,,,
2026-06-26T22:25:45,30.563,idle,1,AF7+AF8,6715.8,675.92,199.85,197.76,218.78,,,,,,,,
2026-06-26T22:25:46,31.571,idle,1,AF7+AF8,1843.2,307.09,96.707,185.99,187.25,,,,,,,,
2026-06-26T22:25:47,32.576,idle,1,AF7+AF8,55971,4422.1,1162.9,489.25,521.89,,,,,,,,
2026-06-26T22:25:48,33.584,idle,1,AF7+AF8,1.6985e+05,10945,2118.4,771.68,773.29,,,,,,,,
2026-06-26T22:25:49,34.589,idle,1,AF7+AF8,39374,2609.5,424.51,291.38,209.05,,,,,,,,
2026-06-26T22:25:50,35.595,idle,1,AF7+AF8,8394.7,2775.6,730.51,804.46,263.63,,,,,,,,
2026-06-26T22:25:51,36.601,idle,1,AF7+AF8,30199,6524,1069.8,1419.4,467.15,,,,,,,,
2026-06-26T22:25:52,37.607,idle,1,AF7+AF8,99546,15048,741.03,729.05,406.29,,,,,,,,
2026-06-26T22:25:53,38.614,idle,1,AF7+AF8,54574,7852.6,266.44,444.35,368.66,,,,,,,,
2026-06-26T22:25:54,39.618,idle,1,AF7+AF8,717.41,121.83,22.434,146.93,127.4,,,,,,,,
2026-06-26T22:25:55,40.633,idle,1,AF7+AF8,40.433,30.174,14.082,89.191,78.579,,,,,,,,
2026-06-26T22:25:56,41.642,idle,1,AF7+AF8,170.34,46.308,28.559,93.8,81.352,,,,,,,,
2026-06-26T22:25:57,42.649,idle,1,AF7+AF8,139.53,31.516,18.176,72.692,64.439,,,,,,,,
2026-06-26T22:25:59,43.655,idle,1,AF7+AF8,30.343,12.933,10.96,59.46,49.748,,,,,,,,
2026-06-26T22:26:00,44.661,idle,1,AF7+AF8,120.08,27.855,15.408,107.75,184.45,,,,,,,,
2026-06-26T22:26:01,45.667,idle,1,AF7+AF8,479.13,99.011,37.378,227.22,515.27,,,,,,,,
2026-06-26T22:26:02,46.672,idle,1,AF7+AF8,243.24,81.354,26.348,183.1,383.13,,,,,,,,
2026-06-26T22:26:03,47.675,idle,1,AF7+AF8,15.725,17.5,10.71,102.01,229.12,,,,,,,,
2026-06-26T22:26:04,48.682,idle,1,AF7+AF8,9.72,9.3726,8.6468,81.19,111.29,,,,,,,,
2026-06-26T22:26:05,49.687,idle,1,AF7+AF8,17.945,17.263,10.461,80.735,91.64,,,,,,,,
2026-06-26T22:26:06,50.694,idle,1,AF7+AF8,83.398,52.555,17.79,79.145,88.786,,,,,,,,
2026-06-26T22:26:07,51.700,idle,1,AF7+AF8,95.767,31.619,12.746,74.401,73.178,,,,,,,,
2026-06-26T22:26:08,52.708,idle,1,AF7+AF8,100.9,65.415,14.567,73.998,69.323,,,,,,,,
2026-06-26T22:26:09,53.714,idle,1,AF7+AF8,874.01,344.11,37.304,90.035,85.885,,,,,,,,
2026-06-26T22:26:10,54.715,idle,1,AF7+AF8,660.04,208.65,27.183,94.388,89.357,,,,,,,,
2026-06-26T22:26:11,55.721,idle,1,AF7+AF8,34.6,19.923,11.855,94.469,87.101,,,,,,,,
2026-06-26T22:26:12,56.723,idle,1,AF7+AF8,93.011,80.331,31.495,87.911,102.51,,,,,,,,
2026-06-26T22:26:13,57.730,idle,1,AF7+AF8,419.8,226.09,88.817,115.75,143.67,,,,,,,,
2026-06-26T22:26:14,58.738,idle,1,AF7+AF8,25692,2155.2,558.52,641.6,403.17,,,,,,,,
2026-06-26T22:26:15,59.746,idle,1,AF7+AF8,50243,2927.8,572.22,845.66,972.23,,,,,,,,
2026-06-26T22:26:16,60.748,idle,1,AF7+AF8,6625.1,414.36,105.38,331.73,624.92,,,,,,,,
2026-06-26T22:26:17,61.754,idle,1,AF7+AF8,364.93,301.93,95.224,209.8,302.88,,,,,,,,
2026-06-26T22:26:18,62.759,idle,1,AF7+AF8,108.76,75.893,32.643,146.58,187.41,,,,,,,,
2026-06-26T22:26:19,63.765,idle,1,AF7+AF8,81.095,34.443,27.216,134.51,132.15,,,,,,,,
